Model,Fold,Acc,Prec,Rec,F1
Adaboost,1,0.9048765803732691,0.9296424452133795,0.8925802879291251,0.9107344632768362
Adaboost,2,0.9589123867069487,0.9440914866581956,0.9687092568448501,0.9562419562419563
Adaboost,3,0.895123580494322,0.948170731707317,0.8348993288590604,0.887937187723055
Adaboost,4,0.8912676056338028,0.8828213879408419,0.8960739030023095,0.8893982808022922
Adaboost,5,0.9277357192016518,0.9515885022692889,0.896011396011396,0.9229640498899486
MLP,1,0.8982540638169777,0.9379474940334129,0.8704318936877077,0.9029293509477312
MLP,2,0.9492447129909366,0.935031847133758,0.9569752281616688,0.9458762886597938
MLP,3,0.9011356045424181,0.9515885022692889,0.8442953020134228,0.8947368421052632
MLP,4,0.9059154929577464,0.8896321070234113,0.9214780600461894,0.9052750992626205
MLP,5,0.9435650378527185,0.9654654654654654,0.915954415954416,0.9400584795321637
XGBoost,1,0.9060806742925949,0.9182530795072789,0.9080841638981174,0.9131403118040089
XGBoost,2,0.9558912386706948,0.9381313131313131,0.9687092568448501,0.9531751122514432
XGBoost,3,0.8997995991983968,0.9514415781487102,0.8416107382550335,0.8931623931623932
XGBoost,4,0.9053521126760563,0.8930180180180181,0.9157043879907621,0.9042189281641961
XGBoost,5,0.9408121128699243,0.9610778443113772,0.9145299145299145,0.9372262773722628
